Traits	Latitude	Longitude
KC589025.1 |Sudan ebolavirus|2012	0.783333	31.083333
KC242783.2 |Sudan ebolavirus|1979	45.167	9.767
KC242784.1 |Zaire ebolavirus|2007	-5.35	21.417
KC242785.1 |Zaire ebolavirus|2007	-5.35	21.417
KC242786.1 |Zaire ebolavirus|2007	-5.35	21.417
KC242787.1 |Zaire ebolavirus|2007	-5.35	21.417
KC242788.1 |Zaire ebolavirus|2007	-5.35	21.417
KC242789.1 |Zaire ebolavirus|2007	-5.35	21.417
KC242790.1 |Zaire ebolavirus|2007	-5.35	21.417
KC242791.1 |Zaire ebolavirus|1977	2.8211	22.2255
KC242796.1 |Zaire ebolavirus|1995	-5.04098	18.81619
KC242799.1 |Zaire ebolavirus|1995	-5.04098	18.81619
KC242801.1 |Zaire ebolavirus|1976	2.8211	22.2255
JN638998.1 |Sudan ebolavirus - Nakisamata|2011-05	0.849169	32.473056
HQ613402.1 |Zaire ebolavirus|2008-12-31	-4.85187	21.5595
HQ613403.1 |Zaire ebolavirus|2007-08-31	-5.89624	22.41659
FJ217161.1 |Bundibugyo ebolavirus|2007-11	0.7125	30.059999
EU338380.1 |Sudan ebolavirus|2004	4.57083	28.39417
AY729654.1 |Sudan ebolavirus|	2.774999	32.299167
